RaterID,MovieID,Rating,Timestamp
36955,21,3.0,1995-01-09 11:46:49
35435,45,5.0,1996-01-29 00:00:00
35435,21,5.0,1996-01-29 00:00:00
35139,52,4.0,1996-01-29 00:00:00
35139,50,5.0,1996-01-29 00:00:00
35139,45,4.0,1996-01-29 00:00:00
35435,11,4.0,1996-01-29 00:00:00
35139,31,5.0,1996-01-29 00:00:00
35139,21,5.0,1996-01-29 00:00:00
35139,19,4.0,1996-01-29 00:00:00
35139,18,4.0,1996-01-29 00:00:00
35139,10,4.0,1996-01-29 00:00:00
35139,1,4.0,1996-01-29 00:00:00
35139,39,5.0,1996-01-29 00:00:00
35435,10,3.0,1996-01-29 00:00:00
35621,19,1.0,1996-01-29 00:00:00
36008,45,5.0,1996-02-01 14:33:17
36008,52,4.0,1996-02-01 14:33:17
36008,50,5.0,1996-02-01 14:33:18
36008,70,3.0,1996-02-01 14:33:18
36008,19,1.0,1996-02-01 14:33:20
36008,18,4.0,1996-02-01 14:33:20
36008,1,5.0,1996-02-01 14:33:23
36008,10,2.0,1996-02-01 14:33:23
36008,11,5.0,1996-02-01 14:33:24
36008,34,1.0,1996-02-01 14:33:25
36008,39,3.0,1996-02-01 14:33:26
36008,31,4.0,1996-02-01 14:33:26
36008,60,2.0,1996-02-01 14:33:27
36008,57,3.0,1996-02-01 14:33:32
36008,63,1.0,1996-02-01 14:33:33
36008,62,4.0,1996-02-01 14:33:34
36008,61,4.0,1996-02-01 14:33:34
36008,44,3.0,1996-02-01 14:33:35
36008,48,3.0,1996-02-01 14:33:35
36008,15,3.0,1996-02-01 14:33:41
36008,16,4.0,1996-02-01 14:33:41
36008,17,4.0,1996-02-01 14:33:42
36008,12,1.0,1996-02-01 14:33:43
36008,20,3.0,1996-02-01 14:33:43
36008,5,2.0,1996-02-01 14:33:44
36008,22,4.0,1996-02-01 14:33:44
36008,2,3.0,1996-02-01 14:33:45
36008,4,3.0,1996-02-01 14:33:45
36008,3,4.0,1996-02-01 14:33:48
36008,7,4.0,1996-02-01 14:33:50
36008,35,4.0,1996-02-01 14:33:51
36008,42,2.0,1996-02-01 14:33:51
36008,43,4.0,1996-02-01 14:33:52
36008,41,4.0,1996-02-01 14:33:52
36008,27,3.0,1996-02-01 14:33:53
36008,23,2.0,1996-02-01 14:33:53
36008,24,3.0,1996-02-01 14:33:54
36008,65,1.0,1996-02-01 14:33:58
36008,14,4.0,1996-02-01 14:33:59
36008,26,5.0,1996-02-01 14:33:59
36008,6,3.0,1996-02-01 14:34:00
36008,78,2.0,1996-02-01 14:34:00
36008,86,3.0,1996-02-01 14:34:02
36008,87,3.0,1996-02-01 14:34:05
36008,74,3.0,1996-02-01 14:34:07
36008,9,3.0,1996-02-01 14:34:08
